Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Massimo,@Rainmaker1973,2024-06-26T15:05:00.000Z,True,,3,0,0,472,[],[],[],https://pbs.twimg.com/profile_images/914888589670043654/KVvwjcWA_normal.jpg,https://x.com/Rainmaker1973/status/1805980587829993640,1805980587829993640
Bab,@bab_102,2024-06-26T10:45:31.000Z,False,#BabTheBooster List!:                    ,12,20,36,667,['#BabTheBooster'],"['@bab_102', '@cosmicwon', '@DarkElizabeth2', '@LoveMissMillie', '@LavondaRomine5', '@Markfry809', '@BuffyBusyBuzzBu', '@EnneaGr8', '@MFB38000197', '@TLo02', '@Bornabrit1', '@drios1111', '@ataylorfanclub', '@SpicyCubanGirl', '@electroboyusa', '@Gdad1', '@gmf1369', '@jensdad4biden', '@Len_Future', '@AlanSmitheeDGA']",[],https://pbs.twimg.com/profile_images/1612944302363000832/g1tAGzwV_normal.jpg,https://x.com/bab_102/status/1805915286866153683,1805915286866153683
Gunther Eagleman™,@GuntherEagleman,2024-06-26T14:53:17.000Z,True,Who is watching Joe Biden sht himself on the debate stage tomorrow night...?,121,40,395,5882,[],[],[],https://pbs.twimg.com/profile_images/1606836521784512512/Xb-_cXXi_normal.jpg,https://x.com/GuntherEagleman/status/1805977640794218729,1805977640794218729
American AF,@iAnonPatriot,2024-06-26T15:00:36.000Z,True,,0,1,1,48,[],[],"['\\U0001f64b\\u200d\\u2642\\ufe0f', '\\U0001f64b\\u200d\\u2642\\ufe0f', '\\U0001f64b\\u200d\\u2642\\ufe0f']",https://pbs.twimg.com/profile_images/1677756031324102659/QmkoTNg5_normal.jpg,https://x.com/iAnonPatriot/status/1805979480315265494,1805979480315265494
Forbes,@Forbes,2024-06-26T15:05:49.000Z,True,"“There’s a real high probability that many of these young voters who are disillusioned are just going to stay home.”

Pollster Bob Ward spoke with  on “Forbes Newsroom” about the role voters between ages 18 to 24 will play in the presidential election.",0,1,3,2075,[],['@_brittanylewis'],[],https://pbs.twimg.com/profile_images/1711185897415180288/lgwajQTW_normal.jpg,https://x.com/Forbes/status/1805980792356577291,1805980792356577291
Dr. Mustafa Santiago Ali,@EJinAction,2024-06-26T14:11:03.000Z,True,"Poem: “Chains of Silence: A Modern Tale of Slavery in West Virginia""

They say racism doesn't exist in America, but we know that's untrue—
a whisper wrapped in chains, a shadowed tale of human tears,
here in the mountains where the past drips like blood from open sores,
where",1,18,22,6042,[],[],[],https://pbs.twimg.com/profile_images/1686955684951203841/Qz9lCV3Y_normal.jpg,https://x.com/EJinAction/status/1805967010800521220,1805967010800521220
wallstreetbets,@wallstreetbets,2024-06-26T14:07:34.000Z,True,hedgies:,57,45,306,19456,[],[],[],https://pbs.twimg.com/profile_images/1805780928968503298/gLWlAlmK_normal.jpg,https://x.com/wallstreetbets/status/1805966134182617375,1805966134182617375
BrooklynDad_Defiant!,@mmpadellan,2024-06-26T15:07:30.000Z,True,"Don't look now, but after trump said he doesn't need Haley voters, there's a shit ton of them coming out for President Biden. ",4,7,32,169,[],[],"['\\U0001f64f', '\\U0001f4aa']",https://pbs.twimg.com/profile_images/1286711762725871617/gA2IaqbR_normal.jpg,https://x.com/mmpadellan/status/1805981216534937890,1805981216534937890
Michael Beschloss,@BeschlossDC,2024-06-26T14:11:23.000Z,True,No Presidential immunity decision from Supreme Court today.,135,143,615,24755,[],[],[],https://pbs.twimg.com/profile_images/1681682029451042818/qaaMufj-_normal.jpg,https://x.com/BeschlossDC/status/1805967095093411871,1805967095093411871
Katie Phang,@KatiePhang,2024-06-26T14:12:22.000Z,True,"There are NO more SCOTUS decisions today.  

NO Trump criminal immunity decision today.

REMINDER: More opinions to be released tomorrow (June 27th) and Friday (June 28th).",98,275,880,32916,[],[],[],https://pbs.twimg.com/profile_images/1561680732027846656/GgZvYdSl_normal.jpg,https://x.com/KatiePhang/status/1805967344704905727,1805967344704905727
JoniSkibo,@Joni_Looking1,2024-06-26T14:19:21.000Z,False,".
YOU Can HELP 
   #SAVE Our  #WildMustangs from Being SENT
 to a #Slaughter  Factory & Turned InTo #MEAT 
        By  
MAKEing a Simple  #PHONECaLL 
       
(202) 224-3121 

LEAVE Message #ASKing Your #POLITICANs 
To",0,8,6,383,"['#SAVE', '#WildMustangs', '#Slaughter', '#MEAT', '#PHONE', '#ASKing', '#POLITICANs', '', '']",[],"['\\U0001f354', '\\U0001f363', '\\U0001f4f2', '\\U0001f447', '\\u270d\\ufe0f', '\\U0001f447']",https://pbs.twimg.com/profile_images/1696536034174234625/UP8N-G7I_normal.jpg,https://x.com/Joni_Looking1/status/1805969100272710026,1805969100272710026
Dana Loesch,@DLoesch,2024-06-26T02:09:34.000Z,True,Savage,69,101,1280,36266,[],[],[],https://pbs.twimg.com/profile_images/1706803808041381888/D81-F0_6_normal.jpg,https://x.com/DLoesch/status/1805785444015108568,1805785444015108568
Laura Loomer,@LauraLoomer,2024-06-26T15:09:38.000Z,True,"EXCLUSIVE VIDEO:

I have obtained exclusive footage of the migrant boat that landed in Key West, Florida this morning with 120 Haitian illegal aliens on board. 

Source tells me that local officials and law enforcement are not notifying the public about the whereabouts of the 120",0,2,1,View,[],[],[],https://pbs.twimg.com/profile_images/1751805801520332800/WIWv-QP2_normal.jpg,https://x.com/LauraLoomer/status/1805981753284186440,1805981753284186440
Simon Ateba,@simonateba,2024-06-26T14:54:32.000Z,True,"BREAKING - OUTRAGED: Justice Samuel Alito EXPLODES after Supreme Court dismisses case against Biden's White House pressuring social media companies to censor what they deemed disinformation during COVID and the 2020 election, says America might regret the decision, says, White",62,295,715,16611,[],[],[],https://pbs.twimg.com/profile_images/1589885579331780608/oaiNs7c3_normal.jpg,https://x.com/simonateba/status/1805977953035055551,1805977953035055551
Simon Ateba,@simonateba,2024-06-26T15:09:11.000Z,True,"I'm surprised some people on social media have not yet paid attention to what just happened. The Supreme Court made a horrible decision today. The White House can pressure X to take down some content, deeming it false or disinformation. It's a sad day for free speech.",0,3,11,134,[],[],[],https://pbs.twimg.com/profile_images/1589885579331780608/oaiNs7c3_normal.jpg,https://x.com/simonateba/status/1805981642982326365,1805981642982326365
Laura Loomer,@LauraLoomer,2024-06-26T15:09:31.000Z,True,DONALD TRUMP WAS RIGHT AGAIN!!!!,1,7,10,172,[],[],[],https://pbs.twimg.com/profile_images/1751805801520332800/WIWv-QP2_normal.jpg,https://x.com/LauraLoomer/status/1805981727321391406,1805981727321391406
Massimo,@Rainmaker1973,2024-06-26T15:10:53.000Z,True,Anatomy 0 - Physics 1,0,0,0,View,[],[],[],https://pbs.twimg.com/profile_images/914888589670043654/KVvwjcWA_normal.jpg,https://x.com/Rainmaker1973/status/1805982069492777369,1805982069492777369
Forbes,@Forbes,2024-06-26T15:10:04.000Z,True,Take a closer look at each of the former president's top donors: https://trib.al/FzYmfvR,0,1,1,626,[],[],[],https://pbs.twimg.com/profile_images/1711185897415180288/lgwajQTW_normal.jpg,https://x.com/Forbes/status/1805981865003675991,1805981865003675991
Sara,@SARA2001NOOR,2024-06-26T09:03:20.000Z,True,morning                     ,19,29,58,1111,[],"['@GulliAz', '@AhearnColeen', '@ShelbyKStewart', '@1shermoore', '@MetaResistance', '@jbm32753', '@BlueStormComin1', '@Rubicon1313', '@ltwlauren', '@MetaResist', '@jerrieskid', '@kristinresistin', '@beachlifelinda1', '@jensdad4biden', '@ButtersKatz', '@lesliebialler', '@VVvossie', '@Chumantastic', '@HStarwhite', '@Nagual44444']",['\\u2615\\ufe0f'],https://pbs.twimg.com/profile_images/1719828921137373184/mHqDN-ok_normal.jpg,https://x.com/SARA2001NOOR/status/1805889572192076203,1805889572192076203
Massimo,@Rainmaker1973,2024-06-26T15:11:37.000Z,True,On the aerodynamics of playing cards,0,1,10,452,[],[],[],https://pbs.twimg.com/profile_images/914888589670043654/KVvwjcWA_normal.jpg,https://x.com/Rainmaker1973/status/1805982252511166708,1805982252511166708
Media Matters,@mmfa,2024-06-26T14:25:12.000Z,True,A Hitler-promoting antisemite spoke twice at Trump’s Miami resort alongside Eric and Lara Trump https://mediamatters.org/antisemitism/hitler-promoting-antisemite-spoke-twice-trumps-miami-resort-alongside-eric-and-lara…,6,66,91,7203,[],[],[],https://pbs.twimg.com/profile_images/1612583738738708481/9ZMcZV3D_normal.png,https://x.com/mmfa/status/1805970572221813041,1805970572221813041
Simon Ateba,@simonateba,2024-06-26T15:14:08.000Z,True,"COMPLETELY DISGUSTING: The Supreme Court Virtually Gave Biden's White House a Green Light to Censor Free Speech, Disguising It as 'Encouragement' Rather Than 'Coercion.' 

NOTE: You may not have read my last posts, but it's a sad day for social media and free speech!",0,0,1,68,[],[],[],https://pbs.twimg.com/profile_images/1589885579331780608/oaiNs7c3_normal.jpg,https://x.com/simonateba/status/1805982885511307525,1805982885511307525
DiscussingFilm,@DiscussingFilm,2024-06-26T15:12:30.000Z,True,"New look at Batman in ‘BATMAN: CAPED CRUSADER’

Releasing August 1 on Prime Video.",11,41,234,4959,[],[],[],https://pbs.twimg.com/profile_images/1706429397467549696/hmvwfChQ_normal.jpg,https://x.com/DiscussingFilm/status/1805982477241979010,1805982477241979010
Andrew Weissmann (weissmann11 on Threads),@AWeissmann_,2024-06-26T14:14:32.000Z,False,"No immunity decision today from SCOTUS.  We wait, and wait, and wait....",254,418,2107,34525,[],[],[],https://pbs.twimg.com/profile_images/1804572667963478016/hhL6Sg64_normal.jpg,https://x.com/AWeissmann_/status/1805967886978072652,1805967886978072652
ash,@ANGELBABYBITTY,2024-06-24T18:48:13.000Z,False,Feeling seen… feeling heard,27,1095,12435,462029,[],[],[],https://pbs.twimg.com/profile_images/1805695029257629696/yDWYn6Ec_normal.jpg,https://x.com/ANGELBABYBITTY/status/1805311989264031992,1805311989264031992
❦,@modelsdiaryy,2024-06-25T14:30:36.000Z,False,"It’s been 1 year since ''barbie'' press tour started — here’s a thread of all the looks margot robbie wore for ''barbie'' press tour, styled by andrew mukamal",117,13074,134261,12126906,[],[],[],https://pbs.twimg.com/profile_images/1776560740146761728/dLaLK9Zz_normal.jpg,https://x.com/modelsdiaryy/status/1805609545374515609,1805609545374515609
Sara,@SARA2001NOOR,2024-06-26T09:03:20.000Z,True,morning                     ,20,29,58,1137,[],"['@GulliAz', '@AhearnColeen', '@ShelbyKStewart', '@1shermoore', '@MetaResistance', '@jbm32753', '@BlueStormComin1', '@Rubicon1313', '@ltwlauren', '@MetaResist', '@jerrieskid', '@kristinresistin', '@beachlifelinda1', '@jensdad4biden', '@ButtersKatz', '@lesliebialler', '@VVvossie', '@Chumantastic', '@HStarwhite', '@Nagual44444']",['\\u2615\\ufe0f'],https://pbs.twimg.com/profile_images/1719828921137373184/mHqDN-ok_normal.jpg,https://x.com/SARA2001NOOR/status/1805889572192076203,1805889572192076203
"(Jen) NoPorn, No Maga #VoteBlue",@jensdad4biden,2024-06-26T15:13:47.000Z,False,"Aww . So cute !! Thank you , Sis . Good morning lovely . Have a beautiful day sweet , Sara ",0,0,0,1,[],[],"['\\U0001f970', '\\U0001f917', '\\u2600\\ufe0f', '\\U0001f343', '\\u2615\\ufe0f', '\\U0001f618', '\\U0001f337', '\\U0001f343', '\\U0001f3d6\\ufe0f', '\\u2600\\ufe0f', '\\U0001f49e']",https://pbs.twimg.com/profile_images/1594152619878014976/NxmqxJTG_normal.jpg,https://x.com/jensdad4biden/status/1805982800278888450,1805982800278888450
MSNBC,@MSNBC,2024-06-26T15:00:54.000Z,True,"On Saturday, September 7th, you can attend “MSNBC Live: Democracy 2024,” our premiere fan event in Brooklyn, New York. Hear thought-provoking conversations, and take part in a sit-down dinner. Buy your tickets today: https://msnbc.com/DEMOCRACY2024",19,4,8,5333,[],[],[],https://pbs.twimg.com/profile_images/1731336840383184896/XMhEBdPu_normal.jpg,https://x.com/MSNBC/status/1805979557737972143,1805979557737972143
New York Post,@nypost,2024-06-26T15:07:51.000Z,True,"‘Land of the Lost’ star Spencer Milligan dead at 86: ‘A true father to us all,’ co-star says https://trib.al/d5EJA7Q",0,0,2,254,[],[],[],https://pbs.twimg.com/profile_images/966372680306868224/60wfGe9e_normal.jpg,https://x.com/nypost/status/1805981304086729079,1805981304086729079
Yahoo Finance,@YahooFinance,2024-06-26T14:55:00.000Z,True,"""There's a $5 billion advertising revenue opportunity for Uber by 2027,"" Piper Sandler senior research analyst Tom Champion believes. 

His case:",2,2,8,3123,[],[],[],https://pbs.twimg.com/profile_images/1765436373400424448/fr0rdvDa_normal.jpg,https://x.com/YahooFinance/status/1805978070769385780,1805978070769385780
BBC News (World),@BBCWorld,2024-06-26T15:07:43.000Z,True,Will Bronny James join dad LeBron at Lakers? NBA draft preview,1,1,0,811,[],[],[],https://pbs.twimg.com/profile_images/1529107170448523264/q3VwEx38_normal.jpg,https://x.com/BBCWorld/status/1805981272642060320,1805981272642060320
NEWJEANS NEWS,@newjeansnews_,2024-06-26T11:46:15.000Z,False,BUBBLE GUM OT5 VERSION ,0,315,1303,20108,[],[],"['\\U0001f62d', '\\U0001f62d']",https://pbs.twimg.com/profile_images/1773190649262870528/6DuMXB5B_normal.jpg,https://x.com/newjeansnews_/status/1805930573367832942,1805930573367832942
大纪元新闻网,@dajiyuan,2024-06-26T15:13:47.000Z,True,尽管美中领导人去年11月在旧金山举行的峰会承诺加强两国人民交流，但美国驻华大使尼古拉斯‧伯恩斯（Nicholas Burns）表示，中共实际上在积极采取行动，破坏两国共识。他谴责中共说一套做一套，“严重背信”。#大纪元,0,1,2,218,['#大纪元'],[],[],https://pbs.twimg.com/profile_images/1173608371594891265/ut-nIZmp_normal.jpg,https://x.com/dajiyuan/status/1805982797305168063,1805982797305168063
プロジェクトセカイ カラフルステージ！ feat. 初音ミク【プロセカ】,@pj_sekai,2024-06-26T11:35:51.000Z,True,"ワンダーランズ×ショウタイム書き下ろし楽曲を、
ワンダフル☆オポチュニティ！（）さんが担当番組生配信中：https://youtube.com/live/h8nFo0KsqbA…#プロセカ放送局",77,11160,22492,796179,['#プロセカ放送局'],['@WAN_OPO'],"['\\U0001f451', '\\U0001f3a4', '\\U0001f4fa']",https://pbs.twimg.com/profile_images/1714854408616562688/XmxGAA2O_normal.png,https://x.com/pj_sekai/status/1805927953781702921,1805927953781702921
윤서⁷,@btsinthemoment,2024-06-26T11:32:26.000Z,False,"[thv] instagram story  type 1 

[ too much sunshine by chs https://open.spotify.com/track/7pkwzAbohoeZrqNuazSk03?si=ThdnixepQKWFvD6tMpLt4w…]",68,5527,11143,158932,[],[],"['\\U0001f42f', '\\U0001f517']",https://pbs.twimg.com/profile_images/1536027796882923526/P41IIckE_normal.jpg,https://x.com/btsinthemoment/status/1805927092959469694,1805927092959469694
슈메이션,@shumation_0309,2024-06-26T12:27:05.000Z,False,"D-DAY FOR DREAM

-
encore movie screening
in seoul 2024.08.04

𝖣𝖨𝖱𝖤𝖢𝖳𝖤𝖣 𝖡𝖸
𝖲𝖧𝖴𝖬𝖠𝖳𝖨𝖮𝖭http://shumation.kr",0,360,599,26274,[],[],['\\U0001f517'],https://pbs.twimg.com/profile_images/1528347202506342400/oecohFdt_normal.jpg,https://x.com/shumation_0309/status/1805940848691155021,1805940848691155021
Ricky Davila,@TheRickyDavila,2024-06-26T04:22:16.000Z,True,Mar-a-Lago is the biggest active crime scene in US history.,141,610,3158,32446,[],[],[],https://pbs.twimg.com/profile_images/1741671380272451584/Z9S8uB9m_normal.jpg,https://x.com/TheRickyDavila/status/1805818840389140872,1805818840389140872
Bloomberg Markets,@markets,2024-06-26T15:13:49.000Z,True,Santander renews its $140 million auditing contract with PwC,1,2,2,3239,[],[],[],https://pbs.twimg.com/profile_images/1631724634675585035/vWm9ufLQ_normal.jpg,https://x.com/markets/status/1805982807782494254,1805982807782494254
New York Post,@nypost,2024-06-26T15:16:59.000Z,True,Philosophy professor found dead at bottom of gorge had ‘extremely kinky’ sex contract with escort: ‘He was about to be exposed’ https://trib.al/KjgRYKA,7,7,15,4139,[],[],[],https://pbs.twimg.com/profile_images/966372680306868224/60wfGe9e_normal.jpg,https://x.com/nypost/status/1805983602338861141,1805983602338861141
BBC News (UK),@BBCNews,2024-06-26T15:19:06.000Z,True,Tory in gambling probe steps back from Senedd job,1,2,7,4812,[],[],[],https://pbs.twimg.com/profile_images/1529107486271225859/03qcVNIk_normal.jpg,https://x.com/BBCNews/status/1805984135787262226,1805984135787262226
The Hill,@thehill,2024-06-26T15:16:04.000Z,True,"WSJ editorial board: Doug Burgum is Trump’s ""best"" bet among likely VP picks",8,3,3,3492,[],[],[],https://pbs.twimg.com/profile_images/1649413483685871621/V_wwjDu2_normal.png,https://x.com/thehill/status/1805983372470038823,1805983372470038823
hello82,@hello82official,2024-06-26T12:00:01.000Z,True,Clap your hands if you're ready for TWS and Little TWS!COPY&PASTE w/  premieres soon! http://youtu.be/hJkQXfjkh6U#COPYnPASTE_TWS #TWSxhello82 #TWS #투어스 #hello82,12,821,2264,37115,"['#COPYnPASTE_TWS', '#TWSxhello82', '#TWS', '#투어스', '#hello82']",['@TWS_PLEDIS'],"['\\U0001f60e', '\\U0001f44f', '\\U0001f389', '\\U0001f517']",https://pbs.twimg.com/profile_images/1763279806727352320/XDC-ulcO_normal.jpg,https://x.com/hello82official/status/1805934034142314752,1805934034142314752
Forbes,@Forbes,2024-06-26T15:20:27.000Z,True,5 Takeaways After Courts Scramble Key Biden Student Loan Forgiveness Plan,0,1,2,1955,[],[],[],https://pbs.twimg.com/profile_images/1711185897415180288/lgwajQTW_normal.jpg,https://x.com/Forbes/status/1805984476394033638,1805984476394033638
Financial Times,@FT,2024-06-26T15:16:38.000Z,True,Gene editing breakthrough promises to boost fight against disease,2,3,7,4724,[],[],[],https://pbs.twimg.com/profile_images/931156393108885504/EqEMtLhM_normal.jpg,https://x.com/FT/status/1805983518389842286,1805983518389842286
Bloomberg Economics,@economics,2024-06-26T15:11:58.000Z,True,Switzerland’s government says it's against a proposal to cap the country’s population at 10 million,1,1,4,1232,[],[],[],https://pbs.twimg.com/profile_images/1631744875346493465/vMT_bQcA_normal.jpg,https://x.com/economics/status/1805982342487462203,1805982342487462203
Denise Wheeler,@denisedwheeler,2024-06-26T04:22:49.000Z,False,"Anyone in the CIA or NSA should be fuming over Aileen Cannon.

Some of the docs were so secret, Jack Smith didn't charge Trump with having them for fear of details making the public.

Imagine the damage done to national security, all the clandestine work lost & lives compromised.",104,1453,3397,41096,[],[],[],https://pbs.twimg.com/profile_images/1283507772705759232/TxVp-cbn_normal.jpg,https://x.com/denisedwheeler/status/1805818979828617594,1805818979828617594
Fox News,@FoxNews,2024-06-26T15:11:23.000Z,True,Felony case against LA prosecutor spilled out of co-workers's boozy clash with cops: docs,9,7,32,14199,[],[],[],https://pbs.twimg.com/profile_images/1591278197844414464/O6Fp0hFB_normal.jpg,https://x.com/FoxNews/status/1805982193941889187,1805982193941889187
Daily Mail Online,@MailOnline,2024-06-26T15:16:11.000Z,True,My old college neighbor is now the Emperor of Japan - here's how we became life-long friends https://trib.al/sl55bZf,1,1,7,1846,[],[],[],https://pbs.twimg.com/profile_images/1573318003554455553/f0lnn5Bv_normal.jpg,https://x.com/MailOnline/status/1805983403629498541,1805983403629498541
The Associated Press,@AP,2024-06-26T15:20:21.000Z,True,Kenya's president says he won't sign finance bill that led protesters to storm parliament,3,2,12,5969,[],[],[],https://pbs.twimg.com/profile_images/1736863672029310976/gzIskvxa_normal.jpg,https://x.com/AP/status/1805984453178626357,1805984453178626357
联合早报 Lianhe Zaobao,@zaobaosg,2024-06-26T15:15:07.000Z,True,继上海、深圳与广州之后，北京终于加入中国楼市政策宽松潮。北京官方星期三发文宣布，首套房贷最低首付比例，从目前的30%调整至20%。同时，降低贷款利率、支持多孩家庭购房等。,1,2,0,1109,[],[],[],https://pbs.twimg.com/profile_images/1699090259018240000/QploqfS9_normal.jpg,https://x.com/zaobaosg/status/1805983133621166295,1805983133621166295
TAE GUIDE,@taeguide,2024-06-26T03:36:10.000Z,True,Taehyung meticulously prepared a 224 page photo book for Armys one that’s been in the making for 2 years as a post enlistment gift and yet he was ridiculed and harassed by some supposed fans under the mask of OT7 with thousands of likes. It’s truly saddening that a photobook,67,1256,3349,106971,[],[],[],https://pbs.twimg.com/profile_images/1765807986465759232/ki2ioVqj_normal.jpg,https://x.com/taeguide/status/1805807239183450178,1805807239183450178
Takuya's Drawing,@takuya_kakikata,2024-06-26T11:40:38.000Z,False,How to draw hot pants.,13,861,6615,173609,[],[],[],https://pbs.twimg.com/profile_images/1501512198379966469/k2qBphEl_normal.jpg,https://x.com/takuya_kakikata/status/1805929156322210197,1805929156322210197
Gacha Memes,@GenshinImpactOC,2024-06-26T11:25:25.000Z,True,,87,5543,40755,598587,[],[],[],https://pbs.twimg.com/profile_images/1704849291070652416/hnQrPZwc_normal.jpg,https://x.com/GenshinImpactOC/status/1805925328126136761,1805925328126136761
About Music,@AboutMusicYT,2024-06-26T11:29:03.000Z,True,Taehyung is flawless (as always) in new shared photos.,347,5350,17527,280602,[],[],[],https://pbs.twimg.com/profile_images/1540698201862221826/KBYc2_F8_normal.jpg,https://x.com/AboutMusicYT/status/1805926244724129986,1805926244724129986
Taro-K from TamoTaro,@Tarokunnnn,2024-06-26T03:29:51.000Z,False,"'Oh, look! My interview is in the news.'
(original characters and concept)",1,302,2439,44706,[],[],[],https://pbs.twimg.com/profile_images/1332346679341637633/nF7PWnJq_normal.jpg,https://x.com/Tarokunnnn/status/1805805649994924392,1805805649994924392
찜라,@mandakkoo,2024-06-26T04:07:00.000Z,False,"240626 
snack timei have many nicknames but,i only chose 8 of them, and im gonna do this 'nicknames world cup' game!there are various kind of nicknameㅋ'manggae-tteok' ..the first nickname (of me) that i remember..coz my cheeks are mochi mochi (squishy)
-c",1,2227,10363,254366,[],[],"['\\U0001f425', '\\U0001f425', '\\U0001f425', '\\U0001f425']",https://pbs.twimg.com/profile_images/1713573249060388864/h0ffW7qM_normal.jpg,https://x.com/mandakkoo/status/1805814996259188844,1805814996259188844
Why you should have a cat,@ShouldHaveCat,2024-06-26T09:11:59.000Z,True,i just came across this picture of a cat with ears bigger than its body and i am Losing it,172,1206,15680,348493,[],[],[],https://pbs.twimg.com/profile_images/1365068242918780928/m278bxAZ_normal.jpg,https://x.com/ShouldHaveCat/status/1805891750306680856,1805891750306680856
まふまふ＠みかん,@uni_mafumafu,2024-06-26T12:01:22.000Z,True,「難事件を解決します【#しまふさかの生放送】」配信中！,224,1745,7722,217667,['#しまふさかの生放送'],[],[],https://pbs.twimg.com/profile_images/1766390773019496449/Hs6I3GzS_normal.jpg,https://x.com/uni_mafumafu/status/1805934374992646529,1805934374992646529
BOYNEXTDOOR,@BOYNEXTDOOR_KOZ,2024-06-26T12:00:01.000Z,True,BOYNEXTDOOR <WHAT? DOOR!> EP.13-14 Photo Sketch https://weverse.io/boynextdoor/media/2-143956387…#BOYNEXTDOOR #보이넥스트도어 #BND#WHATDOOR #왓도어,4,393,2094,41985,"['#BOYNEXTDOOR', '#보이넥스트도어', '#BND', '#WHATDOOR', '#왓도어']",[],['\\U0001f517'],https://pbs.twimg.com/profile_images/1769712168965173248/Pyoq2Ppy_normal.jpg,https://x.com/BOYNEXTDOOR_KOZ/status/1805934036449390619,1805934036449390619
Three,@_3aem,2024-06-26T10:57:04.000Z,True,picture #satosugu #jjk,0,626,4147,28247,"['#satosugu', '#jjk']",[],[],https://pbs.twimg.com/profile_images/1757536501657972736/gL8zDuqU_normal.jpg,https://x.com/_3aem/status/1805918192805806534,1805918192805806534
moo ໒꒱ Dokomi 3F64,@moosaicc,2024-06-25T19:22:31.000Z,False,lucky!!!!!!!!,6,796,4935,51277,[],[],[],https://pbs.twimg.com/profile_images/1793205642192158720/g8PJshON_normal.jpg,https://x.com/moosaicc/status/1805683007409229840,1805683007409229840
EVNNE,@EVNNE_official,2024-06-26T12:00:37.000Z,True,"EVNNE (이븐) 
3rd Mini Album [RIDE or DIE] Showcase Behind The Scenes
  https://bit.ly/4cFHzJT #EVNNE #이븐#RIDE_or_DIE #Badder_Love",2,274,1069,22944,"['#EVNNE', '#이븐', '#RIDE_or_DIE', '#Badder_Love']",[],['\\U0001f517'],https://pbs.twimg.com/profile_images/1797282677068070912/bh44P5bC_normal.jpg,https://x.com/EVNNE_official/status/1805934186999501055,1805934186999501055
JAY BUM PARK,@JAYBUMAOM,2024-06-26T10:39:44.000Z,True,https://youtu.be/b2lyuOVXIJA?feature=shared…  jay park tv!!!,98,320,891,50294,[],[],[],https://pbs.twimg.com/profile_images/1499260699427557376/b2l5U0UH_normal.jpg,https://x.com/JAYBUMAOM/status/1805913833493712917,1805913833493712917
𝚜𝚝𝚊𝚢.,@staywithzh,2024-06-26T11:26:39.000Z,True,[PREVIEW] 240626#alwaysstaywithzhanghao#ZHANGHAO #장하오 #ZEROBASEONE #ZB1 #제로베이스원,0,339,872,13109,"['#alwaysstaywithzhanghao', '#ZHANGHAO', '#장하오', '#ZEROBASEONE', '#ZB1', '#제로베이스원']",[],[],https://pbs.twimg.com/profile_images/1794029369729687553/YtXzxemM_normal.jpg,https://x.com/staywithzh/status/1805925637934506129,1805925637934506129
𝐌.,@5111M_,2024-06-26T11:24:15.000Z,True,"240626 FATE PLUS in HIROSHIMA

𝕺𝖓𝖊 𝖎𝖓 𝖆 𝖇𝖎𝖑𝖑𝖎𝖔𝖓#제이크 #심재윤 #JAKE #SIMJAEYUN #ジェイク #엔하이픈 #ENHYPEN",0,891,2330,23952,"['#제이크', '#심재윤', '#JAKE', '#SIMJAEYUN', '#ジェイク', '#엔하이픈', '#ENHYPEN']",[],[],https://pbs.twimg.com/profile_images/1710282069740552192/hfhsw2tq_normal.jpg,https://x.com/5111M_/status/1805925034730619313,1805925034730619313
jam,@ssujamss,2024-06-26T03:22:46.000Z,True,240626 SNACK TIME S2 - JIMIN #4,0,320,1014,19111,[],[],[],https://pbs.twimg.com/profile_images/1510080946887872518/g6hNJmtw_normal.jpg,https://x.com/ssujamss/status/1805803867034071078,1805803867034071078
BJP Uttarakhand,@BJP4UK,2024-06-26T15:24:07.000Z,True,कभी न भूलने वाला वो वक्त...जब अभिव्यक्ति पर इंदिरा गांधी ने किया कुठाराघात। #DarkDaysOfEmergency#EmergencyHorrors,0,1,2,4,"['#DarkDaysOfEmergency', '#EmergencyHorrors']",[],[],https://pbs.twimg.com/profile_images/1700438490717282304/NEGx7cnL_normal.jpg,https://x.com/BJP4UK/status/1805985397727506535,1805985397727506535
NewJeans Loops,@newjeans_loop,2024-06-26T11:58:03.000Z,True,Right now with YOASOBI ikura,14,1942,8525,384023,[],[],[],https://pbs.twimg.com/profile_images/1799843929468362752/tWKkMWZQ_normal.jpg,https://x.com/newjeans_loop/status/1805933540338815296,1805933540338815296
Lawrence of Gobi 愚蠢的精卫,@Lawrenc09874431,2024-06-26T04:22:26.000Z,True,"乌克兰无人机袭击了在别尔哥罗德距离乌克兰边境 25 公里的一个俄罗斯军营。这个军营伪装躲藏在一所学校里。俄罗斯消息人士证实，这个学校场地被俄军霸占改造成临时军事基地。

在军营里的弹药和俄罗斯士兵都被焚毁。",0,13,94,2734,[],[],[],https://pbs.twimg.com/profile_images/1673899612019539971/4JAFu3q8_normal.jpg,https://x.com/Lawrenc09874431/status/1805818879471423938,1805818879471423938
